national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V75013_1;2569;"https://www.openstreetmap.org/way/2569";Rue Nationale;tertiary;30;
V75013_2;2570;"https://www.openstreetmap.org/way/2570";Avenue des Gobelins;secondary;30;
V75013_3;2573;"https://www.openstreetmap.org/way/2573";Place des Alpes;residential;30;
V75013_4;1345035;"https://www.openstreetmap.org/way/1345035";Rue Fagon;residential;30;
V75013_5;1881555;"https://www.openstreetmap.org/way/1881555";Place Nationale;tertiary;30;
V75013_6;1881556;"https://www.openstreetmap.org/way/1881556";Rue du Château des Rentiers;residential;30;
V75013_7;3189626;"https://www.openstreetmap.org/way/3189626";null;footway;null;
V75013_8;3599326;"https://www.openstreetmap.org/way/3599326";Rue de Tolbiac;secondary;30;
V75013_9;3599327;"https://www.openstreetmap.org/way/3599327";Rue de Tolbiac;secondary;30;
V75013_10;3599341;"https://www.openstreetmap.org/way/3599341";Avenue d'Ivry;secondary;30;
V75013_11;3630515;"https://www.openstreetmap.org/way/3630515";Boulevard de l'Hôpital;primary;30;
V75013_12;3630637;"https://www.openstreetmap.org/way/3630637";Rue de Patay;tertiary;30;
V75013_13;3630638;"https://www.openstreetmap.org/way/3630638";Impasse Baudricourt;residential;30;
V75013_14;3630640;"https://www.openstreetmap.org/way/3630640";Rue Albert Bayet;residential;30;
V75013_15;3630641;"https://www.openstreetmap.org/way/3630641";Avenue Edison;residential;30;
V75013_16;3630643;"https://www.openstreetmap.org/way/3630643";Rue Nicolas Fortin;residential;30;
V75013_17;3630644;"https://www.openstreetmap.org/way/3630644";Rue George Eastman;residential;30;
V75013_18;3630645;"https://www.openstreetmap.org/way/3630645";Rue Ricaut;residential;30;
V75013_19;3630647;"https://www.openstreetmap.org/way/3630647";Rue Aumont;residential;30;
V75013_20;3630648;"https://www.openstreetmap.org/way/3630648";Rue Baudricourt;residential;30;
V75013_21;3630649;"https://www.openstreetmap.org/way/3630649";Rue du Château des Rentiers;residential;30;
V75013_22;3630650;"https://www.openstreetmap.org/way/3630650";Rue Nationale;tertiary;30;
V75013_23;3630654;"https://www.openstreetmap.org/way/3630654";Rue du Docteur Charles Richet;residential;30;
V75013_24;3630655;"https://www.openstreetmap.org/way/3630655";Rue Clisson;residential;30;
V75013_25;3630656;"https://www.openstreetmap.org/way/3630656";Rue Jean Colly;residential;30;
V75013_26;3630659;"https://www.openstreetmap.org/way/3630659";Rue de Patay;tertiary;30;
V75013_27;3630660;"https://www.openstreetmap.org/way/3630660";Rue de Domrémy;residential;30;
V75013_28;3630700;"https://www.openstreetmap.org/way/3630700";Boulevard Vincent Auriol;primary;30;
V75013_29;3630701;"https://www.openstreetmap.org/way/3630701";Place d'Italie;pedestrian;null;
V75013_30;3630703;"https://www.openstreetmap.org/way/3630703";Place d'Italie;residential;30;
V75013_31;3630705;"https://www.openstreetmap.org/way/3630705";Rue Philippe de Champagne;residential;30;
V75013_32;3630706;"https://www.openstreetmap.org/way/3630706";Rue Primatice;residential;30;
V75013_33;3630707;"https://www.openstreetmap.org/way/3630707";Rue Coypel;residential;30;
V75013_34;3630709;"https://www.openstreetmap.org/way/3630709";Avenue Stephen Pichon;pedestrian;null;
V75013_35;3630710;"https://www.openstreetmap.org/way/3630710";Passage Vallet;service;30;
V75013_36;3630963;"https://www.openstreetmap.org/way/3630963";Rue du Dessous des Berges;residential;30;
V75013_37;3630964;"https://www.openstreetmap.org/way/3630964";Rue Marcel Duchamp;residential;30;
V75013_38;3630966;"https://www.openstreetmap.org/way/3630966";Passage National;residential;30;
V75013_39;3630968;"https://www.openstreetmap.org/way/3630968";Villa Nieuport;residential;30;
V75013_40;3630969;"https://www.openstreetmap.org/way/3630969";Rue Eugène Oudiné;residential;30;
V75013_41;4018052;"https://www.openstreetmap.org/way/4018052";Rue Pinel;residential;30;
