national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V94160_1;22736543;"https://www.openstreetmap.org/way/22736543";Avenue Pasteur;residential;30;
V94160_2;22736545;"https://www.openstreetmap.org/way/22736545";Allée des Platanes;footway;null;
V94160_3;22736548;"https://www.openstreetmap.org/way/22736548";Allée des Acacias;footway;null;
V94160_4;22736551;"https://www.openstreetmap.org/way/22736551";Square des Sorbiers;service;null;
V94160_5;22736553;"https://www.openstreetmap.org/way/22736553";Square des Catalpas;service;null;
V94160_6;22736554;"https://www.openstreetmap.org/way/22736554";Square des Ormes;service;null;
V94160_7;22736600;"https://www.openstreetmap.org/way/22736600";Avenue Gambetta;residential;30;
V94160_8;22736601;"https://www.openstreetmap.org/way/22736601";Rue Cart;residential;30;
V94160_9;22736611;"https://www.openstreetmap.org/way/22736611";Rue Poirier;residential;30;
V94160_10;22736647;"https://www.openstreetmap.org/way/22736647";null;primary_link;50;
V94160_11;22736677;"https://www.openstreetmap.org/way/22736677";null;unclassified;50;
V94160_12;22736811;"https://www.openstreetmap.org/way/22736811";Avenue Quihou;residential;null;
V94160_13;22902039;"https://www.openstreetmap.org/way/22902039";Rue Jeanne d'Arc;residential;30;
V94160_14;22902094;"https://www.openstreetmap.org/way/22902094";Avenue Alphand;residential;30;
V94160_15;22902104;"https://www.openstreetmap.org/way/22902104";Rue Baudin;residential;30;
V94160_16;22902110;"https://www.openstreetmap.org/way/22902110";Avenue Alphand;residential;30;
V94160_17;22902136;"https://www.openstreetmap.org/way/22902136";Rue de l'Épinette;residential;30;
V94160_18;22902172;"https://www.openstreetmap.org/way/22902172";Avenue Herbillon;residential;30;
V94160_19;22902183;"https://www.openstreetmap.org/way/22902183";Rue Renault;residential;30;
V94160_20;22902196;"https://www.openstreetmap.org/way/22902196";Rue Allard;residential;30;
V94160_21;22902227;"https://www.openstreetmap.org/way/22902227";Rue Mongenot;residential;30;
V94160_22;22950300;"https://www.openstreetmap.org/way/22950300";Rue Plisson;pedestrian;null;
