,,,,,,,,,,,,,marqueurs de graphique,
,,,,,,,,,,,,,,
,,À propos de ce fichier,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,"Cette feuille de calcul détaille la méthodologie et les données d’analyse du débat public sur les ERP2 à Penly de 2022 et 2023, par l’association Les Voix du Nucléaire.",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,description,nom de la feuille,,,,,,,,,
,,,,page actuelle décrivant toute l’analyse,accueil,,,,,,,,,
,,,,,stats,,,,,,,,,
,,,,,résumé,,,,,,,,,
,,,,,data graphs,,,,,,,,,
,,,,,graphs,,,,,,,,,
,,,,,invités retapage,,,,,,,,,
,,,,,interventions,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Choses à faire,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,statut,,description,date réalisé,,,,,,,,,
,,DONE,,qualifier dans le framacalc les parties citoyennes,03/03/2023,,,,,,,,,
,,,,2 autres graphs pour conclure les rencontres ,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Résumé des interventions,,,,,,,,,,,,
,,,,,,,,,,,,,RESUME,
,,,,,,,,,,,,,,
,,sur les ,12,groupes associatifs invités par la CNDP de notre analyse (excluant les rencontres de Lyon et Lille),,,,,,,,,,
,,représentant,"2,59472222222222",heures de temps de parole,,,,,,,,,,
,,,"75,9982871212933","% du temps de parole était accordé à des organisations se positionnant contre le projet de nouveaux EPR,",,,,,,,,,,
,,,"5,9522535060486",% étaient neutres,,,,,,,,,,
,,,"18,0494593726582",% étaient en faveur du projet,,,,,,,,,,
,,soit,"4,21055753262159","fois plus de gens contre invités que pour, ",,,,,,,,,,
,,,,alors que selon l’étude de l’ifop de Septembre 2022 pour le JDD,,,,,,,,,,
,,,65,% des Français sont favorables ou « tout à fait favorables » à la construction de nouveaux réacteurs nucléaires en France dans les prochaines années.,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,ENDRESUME,
,,,100%,total de contrôle des pourcentages ci-dessus,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Rapport selon l’étude ifop,,,,,,,,,,,____,
,,,,,,,,,,,,,,
,,https://www.ifop.com/wp-content/uploads/2022/09/119425-Rapport.pdf,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Oct 2021,Sept 2022,,,,,,,,,
,,,,2021,2022,,,,,,,,,
,,tout à fait favorable,,19,25,,,,,,,,,
,,plutôt favorable,,32,40,,,,,,,,,
,,plutôt pas favorable,,29,23,,,,,,,,,
,,pas du tout favorable,,20,12,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Données pour les graphiques,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Graphique invités interventions,,,,,,,,,,,____,
,,,contre,neutre,en faveur,indéterminé,somme,,,,,,headers,
,,,8,1,3,0,12,,,,,,values,
,,,,,,,,,,,,,####,
,,,,,,,,,,,,,,
,,Graphique invités temps de parole,,,,,,,,,,,____,
,,,contre,neutre,en faveur,indéterminé,somme,,,,,,headers,
,,,"75,9982871212932%","5,9522535060486%","18,0494593726582%",0%,100%,,,,,,values,
,,,,,,,,,,,,,####,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Temps de parole tout le monde,,,,,,,,,,,____,
,,,contre,neutre,en faveur,indéterminé,somme,,,,,,headers,
,,,"309,55","1073,3194","197,716666666667","96,64725","1677,23331666667",minutes,,,,,values,
,,,,,,,"27,9538886111111",heures,,,,,####,
,,,,,,,,,,,,,,
,,Temps de parole tout le monde en pourcentage,,,,,,,,,,,____,
,,,contre,neutre,en faveur,indéterminé,somme,,,,,,headers,
,,,"18,4559892129498%","63,993446191083%","11,7882625334207%","5,76230206254648%",100%,,,,,,values,
,,,,,,,,,,,,,####,
,,,,,,,,,,,,,,
,,Invités temps de parole + edf,,,,,,,,,,,____,
,,,contre,neutre,en faveur,cndp,edf,somme,,,,,headers,
,,,"118,316666666667","9,26666666666667","28,1","618,036066666667","2,03333333333333","775,752733333334",,,,,values,
,,,contre,neutre,en faveur,cndp,edf,somme,,,,,####,
,,,"15,2518530174263%","1,19453870653458%","3,62228823600235%","79,6692090288907%","0,262111011146077%",100%,,,,,,
,,,,,,,,,,,,,,
,,"Associations invitées sur scène par la cndp, en excluant les évènements de lyon et lille",,,,,,,,,,,____,
,,valeur,contre,neutre,en faveur,cndp,edf,,,,,,headers,
,,minutes,"118,316666666667","9,26666666666667","28,1","423,586066666667","152,35",,,,,,values,
,,%,"75,9982871212932%","5,9522535060486%","18,0494593726582%",,,,,,,,####,
,,,,,,,,,,,,,,
,,"Toute organisation présente sur scène, en excluant les évènements de lyon et lille",,,,,,,,,,,____,
,,valeur,contre,neutre,en faveur,cndp,edf,,,,,,headers,
,,minutes,"159,783333333333","164,8","74,55","423,586066666667","152,35",,,,,,values,
,,%,"40,0325705695674%","41,2894604977451%","18,6779689326875%",,,,,,,,####,
